time,from_app,from_port,to_app,to_port,txbytes,txpackets,rxbytes,rxpackets,dropbytes,droppackets
1398852542.557036,nic2,tx,tee,in,3582963723,22488678,3582963723,22488678,0,0
1398852542.557036,filter,output,sink2,in,68862921,838088,68862921,838088,0,0
1398852542.557036,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852542.557036,limit,output,sink1,in,2378529092,14929112,2378529092,14929112,0,0
1398852543.558598,repeat,output,nic1,rx,3857623954,24212596,3857623954,24212596,0,0
1398852543.558598,tee,out2,filter,input,3854407725,24192406,3854407725,24192406,0,0
1398852543.558598,tee,out1,limit,input,3854407725,24192406,3854407725,24192406,0,0
1398852543.558598,nic2,tx,tee,in,3854407725,24192406,3854407725,24192406,0,0
1398852543.558598,filter,output,sink2,in,74079847,901580,74079847,901580,0,0
1398852543.558598,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852543.558598,limit,output,sink1,in,2479834622,15564965,2479834622,15564965,0,0
1398852544.558266,repeat,output,nic1,rx,4126456683,25899942,4126456683,25899942,0,0
1398852544.558266,tee,out2,filter,input,4123240145,25879752,4123240145,25879752,0,0
1398852544.558266,tee,out1,limit,input,4123240145,25879752,4123240145,25879752,0,0
1398852544.558266,nic2,tx,tee,in,4123240145,25879752,4123240145,25879752,0,0
1398852544.558266,filter,output,sink2,in,79246792,964464,79246792,964464,0,0
1398852544.558266,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852544.558266,limit,output,sink1,in,2579832685,16192646,2579832685,16192646,0,0
1398852545.559186,repeat,output,nic1,rx,4396594828,27595479,4396594828,27595479,0,0
1398852545.559186,tee,out2,filter,input,4393378033,27575289,4393378033,27575289,0,0
1398852545.559186,tee,out1,limit,input,4393378033,27575289,4393378033,27575289,0,0
1398852545.559186,nic2,tx,tee,in,4393378033,27575289,4393378033,27575289,0,0
1398852545.559186,filter,output,sink2,in,84438763,1027652,84438763,1027652,0,0
1398852545.559186,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852545.559186,limit,output,sink1,in,2679834408,16820337,2679834408,16820337,0,0
1398852546.560023,repeat,output,nic1,rx,4635411433,29094432,4635411433,29094432,0,0
1398852546.560023,tee,out2,filter,input,4632194975,29074242,4632194975,29074242,0,0
1398852546.560023,tee,out1,limit,input,4632194975,29074242,4632194975,29074242,0,0
1398852546.560023,nic2,tx,tee,in,4632194975,29074242,4632194975,29074242,0,0
1398852546.560023,filter,output,sink2,in,89028593,1083512,89028593,1083512,0,0
1398852546.560023,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852546.560023,limit,output,sink1,in,2778527759,17439787,2778527759,17439787,0,0
1398852547.556895,repeat,output,nic1,rx,4840299310,30380419,4840299310,30380419,0,0
1398852547.556895,tee,out2,filter,input,4837082892,30360229,4837082892,30360229,0,0
1398852547.556895,tee,out1,limit,input,4837082892,30360229,4837082892,30360229,0,0
1398852547.556895,nic2,tx,tee,in,4837082892,30360229,4837082892,30360229,0,0
1398852547.556895,filter,output,sink2,in,92966489,1131438,92966489,1131438,0,0
1398852547.556895,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852547.556895,limit,output,sink1,in,2877223555,18059294,2877223555,18059294,0,0
1398852548.558630,repeat,output,nic1,rx,5047797142,31682788,5047797142,31682788,0,0
1398852548.558630,tee,out2,filter,input,5044580346,31662598,5044580346,31662598,0,0
1398852548.558630,tee,out1,limit,input,5044580346,31662598,5044580346,31662598,0,0
1398852548.558630,nic2,tx,tee,in,5044580346,31662598,5044580346,31662598,0,0
1398852548.558630,filter,output,sink2,in,96954554,1179974,96954554,1179974,0,0
1398852548.558630,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852548.558630,limit,output,sink1,in,2978528802,18695159,2978528802,18695159,0,0
1398852549.556419,repeat,output,nic1,rx,5316629627,33370134,5316629627,33370134,0,0
1398852549.556419,tee,out2,filter,input,5313413321,33349944,5313413321,33349944,0,0
1398852549.556419,tee,out1,limit,input,5313413321,33349944,5313413321,33349944,0,0
1398852549.556419,nic2,tx,tee,in,5313413321,33349944,5313413321,33349944,0,0
1398852549.556419,filter,output,sink2,in,102121289,1242855,102121289,1242855,0,0
1398852549.556419,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852549.556419,limit,output,sink1,in,3078529338,19322846,3078529338,19322846,0,0
1398852550.558976,repeat,output,nic1,rx,5584158581,35049289,5584158581,35049289,0,0
1398852550.558976,tee,out2,filter,input,5580940393,35029099,5580940393,35029099,0,0
1398852550.558976,tee,out1,limit,input,5580940393,35029099,5580940393,35029099,0,0
1398852550.558976,nic2,tx,tee,in,5580940393,35029099,5580940393,35029099,0,0
1398852550.558976,filter,output,sink2,in,107263089,1305433,107263089,1305433,0,0
1398852550.558976,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852550.558976,limit,output,sink1,in,3178527631,19950510,3178527631,19950510,0,0
1398852551.557349,repeat,output,nic1,rx,5850380954,36720253,5850380954,36720253,0,0
1398852551.557349,tee,out2,filter,input,5847163352,36700063,5847163352,36700063,0,0
1398852551.557349,tee,out1,limit,input,5847163352,36700063,5847163352,36700063,0,0
1398852551.557349,nic2,tx,tee,in,5847163352,36700063,5847163352,36700063,0,0
1398852551.557349,filter,output,sink2,in,112379633,1367703,112379633,1367703,0,0
1398852551.557349,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852551.557349,limit,output,sink1,in,3278527512,20578185,3278527512,20578185,0,0
1398852552.559482,repeat,output,nic1,rx,6104858379,38317498,6104858379,38317498,0,0
1398852552.559482,tee,out2,filter,input,6101642285,38297308,6101642285,38297308,0,0
1398852552.559482,tee,out1,limit,input,6101642285,38297308,6101642285,38297308,0,0
1398852552.559482,nic2,tx,tee,in,6101642285,38297308,6101642285,38297308,0,0
1398852552.559482,filter,output,sink2,in,117270591,1427228,117270591,1427228,0,0
1398852552.559482,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852552.559482,limit,output,sink1,in,3377223732,21197662,3377223732,21197662,0,0
1398852553.561254,repeat,output,nic1,rx,6313660277,39628058,6313660277,39628058,0,0
1398852553.561254,tee,out2,filter,input,6310444014,39607868,6310444014,39607868,0,0
1398852553.561254,tee,out1,limit,input,6310444014,39607868,6310444014,39607868,0,0
1398852553.561254,nic2,tx,tee,in,6310444014,39607868,6310444014,39607868,0,0
1398852553.561254,filter,output,sink2,in,121283706,1476069,121283706,1476069,0,0
1398852553.561254,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852553.561254,limit,output,sink1,in,3478527957,21833508,3478527957,21833508,0,0
1398852554.557980,repeat,output,nic1,rx,6514632953,40889472,6514632953,40889472,0,0
1398852554.557980,tee,out2,filter,input,6511416924,40869282,6511416924,40869282,0,0
1398852554.557980,tee,out1,limit,input,6511416924,40869282,6511416924,40869282,0,0
1398852554.557980,nic2,tx,tee,in,6511416924,40869282,6511416924,40869282,0,0
1398852554.557980,filter,output,sink2,in,125146266,1523078,125146266,1523078,0,0
1398852554.557980,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852554.557980,limit,output,sink1,in,3577223952,22452999,3577223952,22452999,0,0
1398852555.556924,repeat,output,nic1,rx,6771722246,42503099,6771722246,42503099,0,0
1398852555.556924,tee,out2,filter,input,6768503719,42482909,6768503719,42482909,0,0
1398852555.556924,tee,out1,limit,input,6768503719,42482909,6768503719,42482909,0,0
1398852555.556924,nic2,tx,tee,in,6768503719,42482909,6768503719,42482909,0,0
1398852555.556924,filter,output,sink2,in,130087417,1583214,130087417,1583214,0,0
1398852555.556924,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852555.556924,limit,output,sink1,in,3678527618,23088889,3678527618,23088889,0,0
1398852556.556856,repeat,output,nic1,rx,7041858481,44198636,7041858481,44198636,0,0
1398852556.556856,tee,out2,filter,input,7038642350,44178446,7038642350,44178446,0,0
1398852556.556856,tee,out1,limit,input,7038642350,44178446,7038642350,44178446,0,0
1398852556.556856,nic2,tx,tee,in,7038642350,44178446,7038642350,44178446,0,0
1398852556.556856,filter,output,sink2,in,135279388,1646402,135279388,1646402,0,0
1398852556.556856,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852556.556856,limit,output,sink1,in,3778529310,23716589,3778529310,23716589,0,0
1398852557.556422,repeat,output,nic1,rx,7311996524,45894173,7311996524,45894173,0,0
1398852557.556422,tee,out2,filter,input,7308780212,45873983,7308780212,45873983,0,0
1398852557.556422,tee,out1,limit,input,7308780212,45873983,7308780212,45873983,0,0
1398852557.556422,nic2,tx,tee,in,7308780212,45873983,7308780212,45873983,0,0
1398852557.556422,filter,output,sink2,in,140471266,1709589,140471266,1709589,0,0
1398852557.556422,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852557.556422,limit,output,sink1,in,3878529007,24344252,3878529007,24344252,0,0
1398852558.559680,repeat,output,nic1,rx,7583440359,47597901,7583440359,47597901,0,0
1398852558.559680,tee,out2,filter,input,7580222572,47577711,7580222572,47577711,0,0
1398852558.559680,tee,out1,limit,input,7580222572,47577711,7580222572,47577711,0,0
1398852558.559680,nic2,tx,tee,in,7580222572,47577711,7580222572,47577711,0,0
1398852558.559680,filter,output,sink2,in,145688262,1773082,145688262,1773082,0,0
1398852558.559680,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852558.559680,limit,output,sink1,in,3979833169,24980108,3979833169,24980108,0,0
1398852559.560835,repeat,output,nic1,rx,7794852131,48924843,7794852131,48924843,0,0
1398852559.560835,tee,out2,filter,input,7791635432,48904653,7791635432,48904653,0,0
1398852559.560835,tee,out1,limit,input,7791635432,48904653,7791635432,48904653,0,0
1398852559.560835,nic2,tx,tee,in,7791635432,48904653,7791635432,48904653,0,0
1398852559.560835,filter,output,sink2,in,149751498,1822533,149751498,1822533,0,0
1398852559.560835,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852559.560835,limit,output,sink1,in,4078527977,25599577,4078527977,25599577,0,0
1398852560.557745,repeat,output,nic1,rx,8004959472,50243594,8004959472,50243594,0,0
1398852560.557745,tee,out2,filter,input,8001742773,50223404,8001742773,50223404,0,0
1398852560.557745,tee,out1,limit,input,8001742773,50223404,8001742773,50223404,0,0
1398852560.557745,nic2,tx,tee,in,8001742773,50223404,8001742773,50223404,0,0
1398852560.557745,filter,output,sink2,in,153789661,1871679,153789661,1871679,0,0
1398852560.557745,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852560.557745,limit,output,sink1,in,4177223688,26219045,4177223688,26219045,0,0
1398852561.559466,repeat,output,nic1,rx,8248996672,51775311,8248996672,51775311,0,0
1398852561.559466,tee,out2,filter,input,8245780024,51755121,8245780024,51755121,0,0
1398852561.559466,tee,out1,limit,input,8245780024,51755121,8245780024,51755121,0,0
1398852561.559466,nic2,tx,tee,in,8245780024,51755121,8245780024,51755121,0,0
1398852561.559466,filter,output,sink2,in,158479968,1928762,158479968,1928762,0,0
1398852561.559466,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852561.559466,limit,output,sink1,in,4278527928,26854916,4278527928,26854916,0,0
1398852562.557847,repeat,output,nic1,rx,8516525249,53454466,8516525249,53454466,0,0
1398852562.557847,tee,out2,filter,input,8513308549,53434276,8513308549,53434276,0,0
1398852562.557847,tee,out1,limit,input,8513308549,53434276,8513308549,53434276,0,0
1398852562.557847,nic2,tx,tee,in,8513308549,53434276,8513308549,53434276,0,0
1398852562.557847,filter,output,sink2,in,163621770,1991340,163621770,1991340,0,0
1398852562.557847,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852562.557847,limit,output,sink1,in,4378527095,27482587,4378527095,27482587,0,0
1398852563.557440,repeat,output,nic1,rx,8784053564,55133621,8784053564,55133621,0,0
1398852563.557440,tee,out2,filter,input,8780837503,55113431,8780837503,55113431,0,0
1398852563.557440,tee,out1,limit,input,8780837503,55113431,8780837503,55113431,0,0
1398852563.557440,nic2,tx,tee,in,8780837503,55113431,8780837503,55113431,0,0
1398852563.557440,filter,output,sink2,in,168763455,2053916,168763455,2053916,0,0
1398852563.557440,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852563.557440,limit,output,sink1,in,4478529594,28110267,4478529594,28110267,0,0
1398852564.556023,repeat,output,nic1,rx,9051581192,56812776,9051581192,56812776,0,0
1398852564.556023,tee,out2,filter,input,9048364167,56792586,9048364167,56792586,0,0
1398852564.556023,tee,out1,limit,input,9048364167,56792586,9048364167,56792586,0,0
1398852564.556023,nic2,tx,tee,in,9048364167,56792586,9048364167,56792586,0,0
1398852564.556023,filter,output,sink2,in,173905257,2116494,173905257,2116494,0,0
1398852564.556023,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852564.556023,limit,output,sink1,in,4578527469,28737935,4578527469,28737935,0,0
1398852565.557914,repeat,output,nic1,rx,9270824072,58188864,9270824072,58188864,0,0
1398852565.557914,tee,out2,filter,input,9267607260,58168674,9267607260,58168674,0,0
1398852565.557914,tee,out1,limit,input,9267607260,58168674,9267607260,58168674,0,0
1398852565.557914,nic2,tx,tee,in,9267607260,58168674,9267607260,58168674,0,0
1398852565.557914,filter,output,sink2,in,178119116,2167778,178119116,2167778,0,0
1398852565.557914,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852565.557914,limit,output,sink1,in,4677223210,29357433,4677223210,29357433,0,0
1398852566.558757,repeat,output,nic1,rx,9477016060,59483042,9477016060,59483042,0,0
1398852566.558757,tee,out2,filter,input,9473799784,59462852,9473799784,59462852,0,0
1398852566.558757,tee,out1,limit,input,9473799784,59462852,9473799784,59462852,0,0
1398852566.558757,nic2,tx,tee,in,9473799784,59462852,9473799784,59462852,0,0
1398852566.558757,filter,output,sink2,in,182081850,2216006,182081850,2216006,0,0
1398852566.558757,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852566.558757,limit,output,sink1,in,4777223690,29985089,4777223690,29985089,0,0
1398852567.557962,repeat,output,nic1,rx,9698867924,60875512,9698867924,60875512,0,0
1398852567.557962,tee,out2,filter,input,9695651285,60855322,9695651285,60855322,0,0
1398852567.557962,tee,out1,limit,input,9695651285,60855322,9695651285,60855322,0,0
1398852567.557962,nic2,tx,tee,in,9695651285,60855322,9695651285,60855322,0,0
1398852567.557962,filter,output,sink2,in,186345807,2267900,186345807,2267900,0,0
1398852567.557962,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852567.557962,limit,output,sink1,in,4878527860,30620961,4878527860,30620961,0,0
1398852568.557722,repeat,output,nic1,rx,9969006105,62571049,9969006105,62571049,0,0
1398852568.557722,tee,out2,filter,input,9965789531,62550859,9965789531,62550859,0,0
1398852568.557722,tee,out1,limit,input,9965789531,62550859,9965789531,62550859,0,0
1398852568.557722,nic2,tx,tee,in,9965789531,62550859,9965789531,62550859,0,0
1398852568.557722,filter,output,sink2,in,191537685,2331087,191537685,2331087,0,0
1398852568.557722,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852568.557722,limit,output,sink1,in,4978527906,31248620,4978527906,31248620,0,0
1398852569.560165,repeat,output,nic1,rx,10239144249,64266586,10239144249,64266586,0,0
1398852569.560165,tee,out2,filter,input,10235927664,64246396,10235927664,64246396,0,0
